section,item_code,field_or_checkpoint,specification_or_value,method_or_reference,unit,tolerance,status,owner,revision,approval_date,evidence_or_file,open_issue_or_notes
Style identity,STYLE,Brand and project,,,,,Open,,,,,
Style identity,STYLE,Style name,,,,,Open,,,,,
Style identity,STYLE,Style code,,,,,Open,,,,,
Style identity,STYLE,Product category and intended use,,,,,Open,,,,,
Style identity,STYLE,Target wearer and market,,,,,Open,,,,,
Style identity,STYLE,Size range,,,,,Open,,,,,
Style identity,STYLE,Active revision and issue date,,,,,Open,,,,,
Technical views,VIEW,Front technical view,,,,,Open,,,,,
Technical views,VIEW,Back technical view,,,,,Open,,,,,
Technical views,VIEW,Internal and detail views,,,,,Open,,,,,
Technical views,VIEW,Fit and silhouette reference,,,,,Open,,,,,
Bill of materials,F01,Main fabric,Composition construction GSM and color,Approved swatch or supplier reference,,,Open,,,,,
Bill of materials,F02,Contrast or lining fabric,Composition construction GSM and color,Approved swatch or supplier reference,,,Open,,,,,
Bill of materials,T01,Elastic zipper drawcord or other trim,Material dimensions color and placement,Approved trim card or component reference,,,Open,,,,,
Bill of materials,L01,Main size and care labels,Material dimensions artwork placement and legal text,Approved artwork and physical sample,,,Open,,,,,
Measurements,POM01,Point of measurement name,Base-size value,Measurement diagram and method,cm,,Open,,,,,
Measurements,POM02,Point of measurement name,Base-size value,Measurement diagram and method,cm,,Open,,,,,
Measurements,GRADE,Grade rule or all-size chart,Values by size,Approved base fit and grading method,cm,,Open,,,,,
Construction,C01,Seam and stitch requirement,Seam type stitch type allowance and finish,Technical callout or approved sample,,,Open,,,,,
Construction,C02,Hem edge or reinforcement requirement,Construction and finished dimension,Technical callout or approved sample,,,Open,,,,,
Construction,C03,Pocket lining pad or internal build,Construction materials and placement,Technical callout or approved sample,,,Open,,,,,
Color and artwork,A01,Primary color,Color standard and material application,Lab dip swatch or approved reference,,,Open,,,,,
Color and artwork,A02,Logo or graphic,Filename method dimensions colors and placement,Vector artwork and placement diagram,mm,,Open,,,,,
Color and artwork,A03,Repeat print or sublimation layout,Scale orientation color and panel mapping,Production artwork and approved strike-off,,,Open,,,,,
Labels and packaging,PK01,Hangtag or insert,Artwork material dimensions attachment and quantity,Approved artwork and sample,,,Open,,,,,
Labels and packaging,PK02,Polybag box or mailer,Material dimensions warning text and sealing,Approved packaging sample,,,Open,,,,,
Labels and packaging,PK03,Barcode SKU and size sticker,Data source format placement and scan requirement,Approved data file and test record,,,Open,,,,,
Labels and packaging,PK04,Folding assortment and carton marks,Fold method pack ratio carton allocation and marks,Approved packing instruction,,,Open,,,,,
Performance and compliance,TEST01,Required performance check,Method threshold sample stage and responsible party,Applicable test instruction,,,Open,,,,,
Performance and compliance,LEGAL01,Market-specific label or document requirement,Destination requirement and evidence needed,Buyer or qualified compliance advice,,,Open,,,,,
Sample approval,SAMPLE,Sample stage and sample ID,Development fit size-set or pre-production sample,Physical sample photos and review record,,,Open,,,,,
Sample approval,SAMPLE,Measured result and fit comments,Actual values wearer profile and decision,Measurement sheet and fit evidence,,,Open,,,,,
Sample approval,SAMPLE,Material construction artwork and packing result,Pass revise or open by checkpoint,Approved reference or corrective action,,,Open,,,,,
Quality control,QC01,Critical defect or zero-tolerance point,Definition location method and response,Inspection instruction,,,Open,,,,,
Quality control,QC02,Measurement and workmanship checkpoints,Sampling scope tolerance defect class and evidence,Approved specification and inspection brief,,,Open,,,,,
Bulk release,RELEASE,Approved production reference,Sample ID BOM size chart artwork labels and packaging,Controlled approval package,,,Open,,,,,
Bulk release,RELEASE,Quantity color size and SKU breakdown,Released order matrix,Purchase order or controlled order file,,,Open,,,,,
Bulk release,RELEASE,Named approver and written decision,Approved rejected or approved with controlled exception,Approval record,,,Open,,,,,
Revision control,REV,Change description,Old value new value reason affected files and production impact,Change record,,,Open,,,,,
Revision control,REV,Superseded file handling,Withdrawn filenames and replacement revision,Controlled file register,,,Open,,,,,
