nav_products|Produits|Productos|Produtos|Продукция|产品目录
nav_manufacturing|Fabrication|Fabricación|Produção|Производство|制造服务
nav_customization|Personnalisation|Personalización|Personalização|Персонализация|定制工艺
nav_fabrics|Matières|Tejidos|Tecidos|Материалы|面料颜色
nav_process|Processus|Proceso|Processo|Этапы|生产流程
nav_resources|Ressources|Recursos|Recursos|Руководства|采购资料
nav_contact|Contact|Contacto|Contacto|Контакты|联系我们
nav_home|Accueil|Inicio|Início|Главная|首页
nav_quality|Qualité|Calidad|Qualidade|Качество|质量控制
nav_faq|Questions fréquentes|Preguntas frecuentes|Perguntas frequentes|Частые вопросы|常见问题
nav_privacy|Confidentialité|Privacidad|Privacidade|Конфиденциальность|隐私政策
nav_editorial|Politique éditoriale|Política editorial|Política editorial|Редакционная политика|编辑政策
nav_blog|Conseils de fabrication|Consejos de fabricación|Conselhos de produção|Практика производства|制造专栏
nav_label|Navigation principale|Navegación principal|Navegação principal|Основная навигация|主导航
mobile_label|Navigation mobile|Navegación móvil|Navegação móvel|Мобильная навигация|移动端导航
menu_label|Ouvrir le menu|Abrir menú|Abrir menu|Открыть меню|打开菜单
language_label|Choisir la langue|Elegir idioma|Escolher idioma|Выбрать язык|选择语言
brand_tagline|Vêtements de sport sur mesure|Ropa deportiva a medida|Roupa desportiva à medida|Спортивная одежда на заказ|定制运动服装方案
quote|Préparer mon projet|Prepara tu proyecto|Preparar o meu projeto|Подготовить проект|提交项目需求
explore|Voir les produits|Ver productos|Ver produtos|Смотреть продукцию|查看产品
all_products|Tout le catalogue|Todo el catálogo|Todo o catálogo|Весь каталог|全部产品
details|Voir les détails|Ver detalles|Ver detalhes|Подробнее|查看详情
ask_product|Demander un devis|Solicitar presupuesto|Pedir orçamento|Запросить стоимость|咨询此产品
home_intro|Des vêtements de yoga aux tenues d’équipe, préparez votre collection avec un même partenaire : développement, échantillons, marquage, étiquettes et emballages.|Desde ropa de yoga hasta uniformes de equipo, desarrolla tu colección con un mismo socio: diseño, muestras, personalización, etiquetas y embalaje.|Da roupa de ioga aos equipamentos de equipa, desenvolva a sua coleção com um único parceiro: desenvolvimento, amostras, personalização, etiquetas e embalagem.|От одежды для йоги до командной формы: разработка коллекции, образцы, нанесение символики, этикетки и упаковка с одним производственным партнёром.|从瑜伽服到团队队服，由同一合作伙伴协助完成产品开发、样品、品牌标识、标签与包装。
home_eyebrow|Fabrication OEM et ODM|Fabricación OEM y ODM|Produção OEM e ODM|Производство OEM и ODM|OEM 与 ODM 运动服装制造
collections|Une collection adaptée à votre marché|Una colección para tu mercado|Uma coleção para o seu mercado|Коллекция для вашего рынка|为您的市场打造产品系列
collections_intro|Choisissez une famille de produits pour examiner les matières, la coupe, les finitions et les éléments à valider avant de commander.|Elige una familia de productos para revisar tejidos, ajuste, acabados y los puntos que debes aprobar antes de pedir.|Escolha uma família de produtos para analisar tecidos, corte, acabamentos e os pontos a aprovar antes de encomendar.|Выберите категорию и определите материалы, посадку, отделку и критерии согласования до размещения заказа.|选择产品品类，明确面料、版型、工艺以及下单前需要确认的项目。
product_eyebrow|Développement de produits personnalisés|Desarrollo de productos personalizados|Desenvolvimento de produtos personalizados|Разработка продукции на заказ|定制产品开发
spec_heading|Les points à définir pour ce programme|Qué definir para este programa|O que definir para este programa|Что согласовать для этого проекта|此项目需要明确的要点
spec_intro|Utilisez ces points pour préparer le dossier technique et comparer les échantillons. Les caractéristiques finales doivent être approuvées pour la référence commandée.|Usa estos puntos para preparar la ficha técnica y comparar muestras. Las características finales deben aprobarse para el modelo pedido.|Use estes pontos para preparar a ficha técnica e comparar amostras. As características finais devem ser aprovadas para o modelo encomendado.|Используйте эти пункты для технического задания и сравнения образцов. Итоговые характеристики согласуются для конкретной модели заказа.|可据此准备技术资料并比较样品；最终规格需要针对实际订购的款式逐项确认。
image_note|Visuel de référence illustratif. Il ne constitue pas une preuve d’une commande client, d’un stock disponible ou d’une usine vérifiée.|Imagen de referencia ilustrativa. No acredita un pedido de cliente, existencias disponibles ni una fábrica verificada.|Imagem de referência ilustrativa. Não comprova uma encomenda de cliente, stock disponível ou uma fábrica verificada.|Иллюстративный референс. Изображение не подтверждает выполненный заказ, наличие товара или проверку фабрики.|图片为产品规划示意参考，不代表已完成的客户订单、现货库存或经核实的工厂证据。
process_heading|Un processus clair, du brief à la série|Un proceso claro, del briefing a la producción|Um processo claro, do briefing à produção|Понятный путь от задания до партии|从需求到大货，明确每一步
step1|Définir le projet|Define el proyecto|Definir o projeto|Определить проект|确认项目需求
step1_body|Partagez les produits, le marché, les quantités, les tailles, les références et votre calendrier. Précisez ce qui est déjà prêt et ce qui reste à développer.|Comparte productos, mercado, cantidades, tallas, referencias y calendario. Indica qué está preparado y qué falta desarrollar.|Partilhe produtos, mercado, quantidades, tamanhos, referências e calendário. Indique o que já está pronto e o que falta desenvolver.|Укажите изделия, рынок, количество, размеры, референсы и сроки. Отделите готовые материалы от задач, требующих разработки.|提供产品、市场、数量、尺码、参考资料和时间要求，明确已有内容与待开发部分。
step2|Valider les échantillons|Aprueba las muestras|Aprovar as amostras|Утвердить образцы|确认样品
