Control Area,Record ID,PO Number,Style or SKU,Buyer Requirement,Supplier Confirmation,Controlled File or Sample,Revision,Quantity or Allocation,Price or Charge,Currency,Delivery Term and Named Place,Payment Gate,Acceptance Rule,Owner,Due Date,Status,Change Reference,Exception or Open Question,Approval Note
DELETE THIS ILLUSTRATIVE ROW,PO-EXAMPLE-001,PO-EXAMPLE,STYLE-EXAMPLE,Replace this row with the actual order requirement,Pending,Controlled product specification,REV-00,Record units by color and size,Record agreed price,Record currency,Record rule and exact named place,Record deposit or release gate,Define documentary or physical evidence,Buyer order owner,,Open,,What is still unresolved?,Illustrative row only
Parties and references,,,All order lines,Confirm buyer seller billing shipping contacts and quotation or PI references,Pending,Quote and PI,TBD,See order lines,See accepted offer,See PO,Record rule and named place,See terms,Exact legal entities and current documents must agree,Buyer order owner,,Open,,Which legal entities and payment recipient apply?,
Product scope,,,All styles and SKUs,List every style SKU color size and approved route,Pending,Released range file,TBD,Record by variant,See accepted offer,See PO,See order terms,See terms,No unlisted substitute or omitted variant,Buyer product owner,,Open,,Are all variants and routes listed?,
Quantities and allocation,,,All styles and SKUs,Reconcile totals color-size breakdown overage underage spares and shipment split,Pending,Quantity allocation file,TBD,Record exact allocation,See accepted offer,See PO,See order terms,See terms,Written quantity rule and allocation approval,Buyer order owner,,Open,,Do totals and every allocation agree?,
Commercial terms,,,All order lines,Lock unit prices setup charges samples tooling labels packaging tests inspection freight and exclusions,Pending,Accepted quotation,TBD,See quantity file,Record every charge,Record currency,Record rule and named place,See terms,All charges currency and tax assumptions recorded,Commercial owner,,Open,,Which service or charge remains excluded?,
Product specification,,,Each style,Identify current tech pack BOM measurement construction and grading files,Pending,Released product file set,TBD,See quantity file,See accepted offer,See PO,See order terms,See terms,One released revision with conflicts closed,Technical owner,,Open,,Which file or conflict remains open?,
Samples and approvals,,,Each approved scope,List fit size-set pre-production decoration packaging and retained references,Pending,Sample approval register,TBD,See quantity file,See accepted offer,See PO,See order terms,See terms,Named approver date scope and accepted deviations recorded,Sample approval owner,,Open,,What does each sample actually approve?,
Materials and colors,,,Each material scope,Record coded fabrics trims colors finishes sources and approved alternatives,Pending,Material approval record,TBD,See quantity file,See accepted offer,See PO,See order terms,See terms,Exact approved references and substitution route,Material owner,,Open,,Are any substitutions still pending?,
Artwork and decoration,,,Each artwork scope,Record production files dimensions placement colors method names numbers and variable data,Pending,Artwork approval register,TBD,See quantity file,See accepted offer,See PO,See order terms,See terms,Released files match approved physical result,Artwork owner,,Open,,Do variable data and production files agree?,
Labels and packaging,,,Each SKU and destination,Map brand care size origin barcode SKU fold polybag insert carton and destination data,Pending,Packaging handoff register,TBD,See quantity file,See accepted offer,See PO,See order terms,See terms,Physical or digital approval covers every variable version,Packaging owner,,Open,,Is every SKU and market version mapped?,
Quality and inspection,,,Each inspection lot,Reference defect classes sampling plan measurements tests reports and release authority,Pending,Inspection brief,TBD,See quantity file,See accepted offer,See PO,See order terms,See terms,Acceptance and escalation rules agreed before inspection,Quality owner,,Open,,Who can release or hold the lot?,
Delivery and documents,,,Each shipment,Lock delivery date handoff point named place shipping marks invoice packing list and required evidence,Pending,Delivery and document register,TBD,See quantity file,See accepted offer,See PO,Record exact named place,See terms,Responsibilities dates and document owners reconcile,Logistics owner,,Open,,Which document or delivery boundary remains open?,
Payment and release gates,,,Each payment gate,Connect deposit progress balance and shipment release to defined evidence,Pending,Payment and release record,TBD,See quantity file,See accepted offer,See PO,Record delivery boundary,Record exact trigger,No payment gate depends on an undefined approval,Commercial owner,,Open,,What evidence triggers each payment?,
Change control,,,Affected order scope,Require written effect on files samples quantity price timing packing quality and release,Pending,Change record,TBD,Recalculate allocation,Record cost effect,Record currency,Record delivery effect,Record gate effect,Amended PO or signed change record identifies every impact,Change authority,,Open,Record approved amendment,Which dependent record must change?,
