"section","check","buyer_question","evidence_requested","verification_method","status","risk_if_open","supplier_response","evidence_link_or_file","owner","review_date","next_action"
"Business identity","Contracting entity","Which legal entity will sign the order and receive payment?","Business registration; legal name; registration number; registered address; current status","Check the relevant official registry and match the entity across contract invoice and bank beneficiary","Not reviewed","High","","","","",""
"Business identity","Operating role","Which work is performed directly and which is subcontracted or sourced through partners?","Written scope map naming development sourcing cutting sewing decoration inspection packing and shipment roles","Compare the written map with live video third-party audit or visit evidence","Not reviewed","High","","","","",""
"Business identity","Payment identity","Does the beneficiary match the approved contracting entity?","Pro forma invoice; beneficiary details; documented explanation for any difference","Independent bank and contract review before payment","Not reviewed","High","","","","",""
"Product fit","Category relevance","Which recent products use comparable fabric construction fit decoration and packing?","Buyer-authorized examples; coded samples; redacted production records where appropriate","Compare evidence with the exact proposed product rather than a broad category claim","Not reviewed","Medium","","","","",""
"Product fit","Development ownership","Who owns pattern fabric artwork sample comments costing and approval communication?","Named responsibility matrix and escalation contacts","Test the workflow with a controlled development brief","Not reviewed","Medium","","","","",""
"Materials","Material identity","How will the approved fabric and trims be identified in bulk?","Fabric code; construction; composition; GSM; width; finish; color reference; trim codes","Match physical references specifications purchase records and bulk receiving checks","Not reviewed","High","","","","",""
"Materials","Substitution control","What happens if an approved material is unavailable?","Written change-control and buyer approval route","Review a sample change record or require the rule in the order file","Not reviewed","High","","","","",""
"Sampling","Revision control","How are sample versions comments measurements and open issues controlled?","Sample register; comment sheet; measurement report; approval status","Trace one sample decision from comment to revised specification","Not reviewed","High","","","","",""
"Sampling","Bulk release","What exact file authorizes bulk production?","Released tech pack; approved sample reference; material; artwork; label; packing and quantity records","Confirm one dated approval state and named release authority","Not reviewed","High","","","","",""
"Quality","Inspection plan","Which incoming first-production in-line measurement finishing and packing checks apply?","Product-specific quality plan and records","Match checkpoints to approved requirements owners evidence and escalation rules","Not reviewed","High","","","","",""
"Quality","Defect and corrective action","How are repeated defects contained corrected and rechecked?","Defect log; root-cause or corrective-action record; reinspection result","Review whether records identify affected units lots owners and closure evidence","Not reviewed","High","","","","",""
"Quality","Pre-shipment release","Who decides whether the finished lot can ship?","Inspection brief; sampled results; defect counts; corrective action; release decision","Confirm the decision rule before inspection and retain the signed result","Not reviewed","High","","","","",""
"Compliance","Certificate claim","Who holds the certificate and what site product process standard and dates does it cover?","Complete current certificate and supporting scope","Verify through the issuer accreditation body or authoritative database where available","Not reviewed","High","","","","",""
"Compliance","Product testing","Which test or document is required for this product and destination?","Buyer requirement; laboratory report; sample identity; method; result and date","Match the tested sample and scope to the ordered product and current market requirement","Not reviewed","High","","","","",""
"Compliance","Labels and claims","Who approves fiber care origin identity environmental and performance statements?","Market-specific label file; claim substantiation; named approval owner","Review with qualified compliance support for the destination market","Not reviewed","High","","","","",""
"Capacity and timing","Capacity evidence","What line time material availability and external process capacity are reserved?","Production plan with assumptions constraints and subcontracted steps","Compare timing with material lead time sample approvals and actual production milestones","Not reviewed","Medium","","","","",""
"Commercial terms","Comparable quote","Which costs assumptions exclusions and validity dates are included?","Itemized quotation covering product decoration labels packaging testing inspection and freight handoff","Compare shortlisted suppliers against one controlled brief","Not reviewed","Medium","","","","",""
"Packing and logistics","Unit identity","How will SKU size color roster barcode and carton allocation be reconciled?","Packing specification; SKU file; roster; packing list; carton map","Run a reconciliation before shipment and retain exception records","Not reviewed","High","","","","",""
"Continuity","Reorder control","Which approved references and changes will be retained for a reorder?","Master record for materials measurements artwork labels packaging and revision history","Review availability changes before repeating the prior specification","Not reviewed","Medium","","","","",""
"Decision","Pilot order gate","Which open items prevent deposit sample approval bulk release or shipment?","Open-item register with status owner due date evidence and decision gate","Do not convert unknowns into assumed approvals; close or explicitly accept each risk","Not reviewed","High","","","","",""
