"verification_group","check_id","style_code","generated_file_name","generated_file_version","source_reference","requirement_or_question","verified_value_or_decision","verification_method","evidence_reference","owner","status","revision_needed","notes"
"ILLUSTRATIVE ROW - DELETE BEFORE USE","CN-01","EX-001","EX-001-ai-draft.pdf","DRAFT-01","Approved design review","Does every visible panel and edge have a manufacturable construction route?","Front pocket opening requires a facing and bartack specification; generated view omitted both","Technical designer review against reference sample and construction drawing","example-evidence/EX-001/CN-01","Technical designer","OPEN","Yes - issue DRAFT-02 after construction review","Illustrative data only; delete this row and verify the generated draft against real project evidence"
"File control","FC-01","","","","","Identify the style, owner, draft status, date, active revision, and superseded files","","Controlled document review","","","","",""
"Source traceability","SC-01","","","","","Link each generated statement to a buyer decision, approved reference, physical sample, supplier data, or verified standard","","Source-to-output comparison","","","","",""
"Technical views","TV-01","","","","","Confirm front, back, internal, and detail views agree and show every required panel, seam, opening, fastening, and finish","","Technical design review","","","","",""
"Manufacturable construction","CN-01","","","","","Verify seam type, stitch type, allowance, edge finish, reinforcement, lining, attachment, machinery, and assembly feasibility","","Technical designer and manufacturer review","","","","",""
"Bill of materials","BM-01","","","","","Verify every fabric, lining, elastic, trim, zipper, cord, pad, thread, label, and packaging component has a stable code and role","","BOM reconciliation","","","","",""
"Material facts","BM-02","","","","","Verify composition, construction, weight, stretch, recovery, finish, color, width, supplier code, and approved swatch instead of accepting generated values","","Supplier data and physical swatch review","","","","",""
"Measurements","MS-01","","","","","Verify every point of measure has a location, method, unit, base-size value, tolerance, and diagram","","Pattern and measurement review","","","","",""
"Grade rules","MS-02","","","","","Verify grade increments, size range, proportion changes, inseam options, and representative size evidence","","Pattern grader review","","","","",""
"Fit intent","FT-01","","","","","Define wearer, activity, ease, compression, coverage, support, mobility, and approved fit reference","","Fit brief and physical sample review","","","","",""
"Color","CL-01","","","","","Verify color standard, material-color pairing, print color, contrast, and approval method","","Approved color reference review","","","","",""
"Artwork","AR-01","","","","","Verify rights, source file, scale, finished dimensions, placement coordinates, method, substrate, color, and production filename","","Artwork preflight and physical trial","","","","",""
"Labels and compliance","LB-01","","","","","Verify brand, size, care, fiber, origin, warning, language, placement, market, and evidence requirements with qualified reviewers","","Market-specific compliance review","","","","",""
"Packaging","PK-01","","","","","Verify component artwork, folding, polybag or box, barcode, SKU sticker, inserts, assortment, carton, destination, and packed-sample requirements","","Packaging handoff review","","","","",""
"Performance claims","PC-01","","","","","Remove or qualify any generated performance, sustainability, safety, certification, or compliance claim without applicable evidence","","Claim-to-evidence review","","","","",""
"Cross-file consistency","CF-01","","","","","Confirm drawings, BOM, measurements, artwork, labels, packaging, purchase order, sample comments, and active revision agree","","Controlled package comparison","","","","",""
"Sample feedback","RV-01","","","","","Convert every sample comment into location, current value, required value, owner, evidence, decision, and revision","","Sample review record","","","","",""
"Manufacturer questions","MQ-01","","","","","Record open assumptions and manufacturer questions instead of allowing generated text to select an unknown technical answer","","Open-issue register","","","","",""
"Human approval","AP-01","","","","","Name the qualified reviewer for design, construction, pattern, material, artwork, compliance, packaging, and bulk release","","Approval matrix","","","","",""
"Release status","RL-01","","","","","Mark the file as draft, for quotation, for sampling, or released for bulk; never infer release from visual completeness","","Document-control review","","","","",""
