index|home|Fabricant de vêtements de sport personnalisés|Fabricante de ropa deportiva personalizada|Fabricante de roupa desportiva personalizada|Производство спортивной одежды на заказ|定制运动服装制造商
contact|contact|Parlons de votre projet|Hablemos de tu proyecto|Vamos falar do seu projeto|Обсудим ваш проект|联系我们，开始您的项目
sportswear-manufacturer|manufacturing|Fabrication pour marques et équipes|Fabricación para marcas y equipos|Produção para marcas e equipas|Производство для брендов и команд|品牌与团队运动服装制造
private-label-activewear-manufacturer|active|Votre collection sous marque privée|Tu colección de marca privada|A sua coleção de marca própria|Коллекция под вашей маркой|自有品牌运动服装定制
custom-teamwear-uniforms|team|Tenues personnalisées pour équipes|Uniformes personalizados para equipos|Equipamentos personalizados para equipas|Форма на заказ для команд|团队与俱乐部队服定制
low-moq-sportswear-manufacturer|commercial|Préparer une première petite série|Planifica una primera producción pequeña|Planear uma primeira série pequena|Планирование первой небольшой партии|小批量运动服装与初创品牌方案
one-stop-service|manufacturing|Du cahier des charges à l’expédition|Del diseño al envío|Do briefing à expedição|От технического задания до отгрузки|从需求确认到出货的一站式服务
customization|artwork|Personnalisation, logos et finitions|Personalización, logotipos y acabados|Personalização, logótipos e acabamentos|Персонализация, логотипы и отделка|印花、绣花与品牌细节定制
fabrics|fabric|Matières, couleurs et performances|Tejidos, colores y prestaciones|Tecidos, cores e desempenho|Материалы, цвета и свойства|运动面料、颜色与性能
process|sampling|Échantillons et étapes de production|Muestras y etapas de producción|Amostras e etapas de produção|Образцы и этапы производства|打样与生产流程
quality|qc|Contrôle qualité des vêtements de sport|Control de calidad de ropa deportiva|Controlo de qualidade de roupa desportiva|Контроль качества спортивной одежды|运动服装质量控制
faq|faq|Questions fréquentes|Preguntas frecuentes|Perguntas frequentes|Частые вопросы|常见问题
quote-checklist|commercial|Préparer une demande de devis complète|Prepara una solicitud de presupuesto completa|Preparar um pedido de orçamento completo|Подготовка запроса стоимости|报价前的需求准备清单
about-factory|supplier|Vérifier votre partenaire de fabrication|Verifica a tu socio de fabricación|Verificar o seu parceiro de produção|Проверка производственного партнёра|了解并核实制造合作伙伴
factory-video|supplier|Demander des preuves et une visite vidéo|Solicita pruebas y una visita por vídeo|Pedir evidências e uma visita por vídeo|Запрос документов и видеопроверки|工厂资料与视频核实
certificates|certification|Documents de conformité à vérifier|Documentos de conformidad que debes verificar|Documentos de conformidade a verificar|Проверка документов о соответствии|合规与认证文件核查
case-studies|planning|Exemples de préparation de projets|Ejemplos de planificación de proyectos|Exemplos de planeamento de projetos|Примеры планирования проектов|运动服装项目规划示例
editorial-policy|editorial|Politique éditoriale et preuves|Política editorial y evidencias|Política editorial e evidências|Редакционная политика и доказательства|内容编辑与证据使用政策
privacy|privacy|Confidentialité et données de contact|Privacidad y datos de contacto|Privacidade e dados de contacto|Конфиденциальность и контактные данные|隐私与联系信息
thank-you|receipt|Aucun envoi confirmé pour le moment|Todavía no hay un envío confirmado|Ainda não existe um envio confirmado|Подтверждённой отправки пока нет|尚无本次提交的确认记录
404|missing|Page introuvable|Página no encontrada|Página não encontrada|Страница не найдена|未找到页面
products/index|catalog|Catalogue de vêtements de sport|Catálogo de ropa deportiva|Catálogo de roupa desportiva|Каталог спортивной одежды|运动服装产品目录
products/lookbook|catalog|Galerie de produits|Galería de productos|Galeria de produtos|Галерея продукции|产品款式图库
products/new-products|catalog|Nouvelles pistes de collection|Nuevas ideas para tu colección|Novas ideias para a sua coleção|Новые идеи для коллекций|新品开发方向
products/more-sports|catalog|Toutes les disciplines sportives|Todas las disciplinas deportivas|Todas as modalidades desportivas|Все спортивные направления|更多运动品类
products/accessories|accessories|Accessoires de sport personnalisés|Accesorios deportivos personalizados|Acessórios desportivos personalizados|Спортивные аксессуары на заказ|定制运动配件
products/american-football-uniforms|team|Tenues de football américain|Uniformes de fútbol americano|Equipamentos de futebol americano|Форма для американского футбола|美式橄榄球队服
products/athleisure|lifestyle|Collections athleisure|Colecciones athleisure|Coleções athleisure|Повседневная спортивная одежда|运动休闲服装
products/badminton-uniforms|court|Tenues de badminton|Uniformes de bádminton|Equipamentos de badminton|Форма для бадминтона|羽毛球队服
products/baseball-softball-teamwear|team|Programmes baseball et softball|Programas de béisbol y sóftbol|Programas de basebol e softbol|Комплекты для бейсбола и софтбола|棒球与垒球队服方案
products/baseball-uniforms|team|Tenues de baseball|Uniformes de béisbol|Equipamentos de basebol|Бейсбольная форма|棒球队服
products/basketball-jerseys|team|Maillots de basketball|Camisetas de baloncesto|Camisolas de basquetebol|Баскетбольные майки|篮球球衣
products/basketball-wear|team|Tenues de basketball|Uniformes de baloncesto|Equipamentos de basquetebol|Баскетбольная форма|篮球队服
