active.title|Fitness, yoga et studio|Fitness, yoga y estudio|Fitness, ioga e estúdio|Фитнес, йога и студийные занятия|健身、瑜伽与室内运动
active.intro|Préparez la coupe, le niveau de maintien et la gamme de tailles selon les mouvements prévus. Validez l’opacité, le confort des coutures et la tenue après lavage sur les matières et coloris réellement commandés.|Define el ajuste, la sujeción y las tallas según los movimientos previstos. Comprueba opacidad, comodidad de las costuras y comportamiento tras el lavado con los tejidos y colores del pedido real.|Defina o corte, o suporte e os tamanhos segundo os movimentos previstos. Verifique a opacidade, o conforto das costuras e o comportamento após lavagem com os tecidos e cores da encomenda real.|Определите посадку, поддержку и размерный ряд с учётом движений. Проверьте непрозрачность, комфорт швов и поведение после стирки на материалах и цветах конкретного заказа.|根据实际动作确定版型、支撑程度和尺码范围，使用订单对应的面料与颜色验证遮透性、接缝舒适度及洗后表现。
active.points|Élasticité et récupération du tissu;Stabilité de la taille et couverture en mouvement;Tailles, maintien et confort des coutures;Boulochage, lavage et cohérence des couleurs|Elasticidad y recuperación del tejido;Estabilidad de cintura y cobertura en movimiento;Tallas, sujeción y comodidad de costuras;Pilling, lavado y uniformidad del color|Elasticidade e recuperação do tecido;Estabilidade da cintura e cobertura em movimento;Tamanhos, suporte e conforto das costuras;Borboto, lavagem e uniformidade da cor|Растяжимость и восстановление ткани;Стабильность пояса и покрытие при движении;Размеры, поддержка и комфорт швов;Пиллинг, стирка и согласованность цвета|面料弹性与回复性;运动中的腰头稳定与遮盖;尺码、支撑及接缝舒适度;起球、洗涤与颜色一致性
team.title|Tenues d’équipe et de club|Uniformes de equipo y club|Equipamentos de equipa e clube|Форма для команд и клубов|团队与俱乐部队服
team.intro|Reliez chaque vêtement à une liste de joueurs approuvée : taille, nom, numéro, rôle et quantité. Vérifiez les règles de la compétition concernée avant de figer les logos, numéros et couleurs.|Vincula cada prenda a una lista de jugadores aprobada: talla, nombre, número, función y cantidad. Revisa las reglas de la competición antes de cerrar logotipos, números y colores.|Associe cada peça a uma lista de jogadores aprovada: tamanho, nome, número, função e quantidade. Verifique as regras da competição antes de fechar logótipos, números e cores.|Свяжите каждое изделие с утверждённым списком игроков: размер, имя, номер, роль и количество. Проверьте регламент конкретного соревнования до согласования логотипов, номеров и цветов.|将每件服装对应到已确认的队员名单，包括尺码、姓名、号码、角色和数量。标志、号码与颜色定稿前，应核对实际参赛赛事的规则。
team.points|Répartition adultes, jeunes et rôles;Dimensions et emplacement des numéros;Fichiers sponsors et versions validées;Sachets individuels, étiquettes et cartons par équipe|Distribución de adultos, jóvenes y funciones;Medidas y ubicación de los números;Archivos de patrocinadores y versiones aprobadas;Bolsas individuales, etiquetas y cajas por equipo|Distribuição de adultos, jovens e funções;Dimensões e posição dos números;Ficheiros de patrocinadores e versões aprovadas;Sacos individuais, etiquetas e caixas por equipa|Взрослые, юниоры и роли игроков;Размеры и расположение номеров;Файлы спонсоров и утверждённые версии;Индивидуальные пакеты, этикетки и коробки по командам|成人、青少年及队员角色配比;号码尺寸与位置;赞助商文件及确认版本;个人分袋、标签与按队装箱
endurance.title|Course, cyclisme et endurance|Running, ciclismo y resistencia|Corrida, ciclismo e resistência|Бег, велоспорт и выносливость|跑步、骑行与耐力运动
endurance.intro|Évaluez le vêtement pendant l’effort, avec les poches chargées et dans la posture prévue. Une photo ne permet pas de confirmer le confort, la gestion de l’humidité ou la stabilité des composants.|Evalúa la prenda durante el esfuerzo, con los bolsillos cargados y en la postura de uso. Una foto no confirma comodidad, gestión de humedad ni estabilidad de los componentes.|Avalie a peça durante o esforço, com os bolsos carregados e na postura de utilização. Uma fotografia não confirma conforto, gestão de humidade nem estabilidade dos componentes.|Проверяйте изделие при нагрузке, с наполненными карманами и в рабочей позе. Фотография не подтверждает комфорт, отвод влаги или стабильность элементов.|应在实际运动姿态与口袋负重条件下测试服装。仅凭照片无法确认舒适度、湿气管理或各部件的稳定性。
endurance.points|Position des coutures et risque de frottement;Poches, doublures, fermetures et maintien;Coupe en mouvement et posture sportive;Tests de lavage et essais d’usage documentés|Posición de costuras y riesgo de rozaduras;Bolsillos, forros, cierres y estabilidad;Ajuste en movimiento y postura deportiva;Lavado y pruebas de uso documentadas|Posição das costuras e risco de fricção;Bolsos, forros, fechos e estabilidade;Corte em movimento e postura desportiva;Lavagem e ensaios de utilização documentados|Швы и риск натирания;Карманы, подкладки, застёжки и фиксация;Посадка в движении и спортивной позе;Документированные испытания при носке и стирке|接缝位置与摩擦风险;口袋、内衬、拉链及固定;运动姿态下的版型适配;有记录的洗涤与穿着测试
court.title|Sports de raquette et de précision|Deportes de raqueta y precisión|Desportos de raquete e precisão|Ракеточные и точностные виды спорта|球拍与技巧类运动
court.intro|Définissez l’aisance aux épaules, la liberté des jambes et la gestion des accessoires selon la discipline. Contrôlez les poches, les sous-shorts et les ouvertures pendant les gestes réels du sport.|Define la movilidad de hombros y piernas y el uso de accesorios según la disciplina. Comprueba bolsillos, pantalones interiores y aberturas durante los movimientos reales del deporte.|Defina a mobilidade dos ombros e pernas e o uso de acessórios segundo a modalidade. Verifique bolsos, calções interiores e aberturas durante os movimentos reais do desporto.|Определите свободу плеч и ног и размещение аксессуаров с учётом дисциплины. Проверьте карманы, внутренние шорты и разрезы при характерных спортивных движениях.|按运动项目明确肩部与腿部活动量以及配件使用方式，并在真实动作中检查口袋、内衬短裤与开口设计。
court.points|Coupe, longueur et liberté de mouvement;Poches adaptées aux objets transportés;Col, patte de boutonnage et finitions;Couleurs de club et tenue après lavage|Corte, longitud y libertad de movimiento;Bolsillos adecuados a los objetos transportados;Cuello, tapeta y acabados;Colores de club y comportamiento tras lavado|Corte, comprimento e liberdade de movimento;Bolsos adequados aos objetos transportados;Gola, carcela e acabamentos;Cores do clube e comportamento após lavagem|Крой, длина и свобода движений;Карманы под конкретные предметы;Воротник, планка и отделка;Клубные цвета и поведение после стирки|版型、长度与活动自由度;匹配实际携带物的口袋;领口、门襟与收边;俱乐部配色与洗后表现
outdoor.title|Vêtements d’extérieur|Ropa de exterior|Roupa de exterior|Одежда для активного отдыха|户外运动服装
outdoor.intro|Précisez le climat, les couches portées et l’usage attendu. Les propriétés annoncées, comme la résistance à l’eau ou la protection solaire, doivent être reliées à une méthode d’essai et à des résultats pertinents.|Especifica clima, capas y uso previsto. Las propiedades anunciadas, como resistencia al agua o protección solar, deben vincularse a un método de ensayo y resultados pertinentes.|Indique o clima, as camadas e a utilização prevista. As propriedades anunciadas, como resistência à água ou proteção solar, devem estar ligadas a um método de ensaio e resultados relevantes.|Укажите климат, сочетание слоёв и предполагаемое использование. Заявления о водостойкости или защите от солнца должны подтверждаться подходящими испытаниями и результатами.|明确气候、叠穿方式与预期用途。防水、遮阳等性能主张应对应适用的测试方法及相关结果。
outdoor.points|Compatibilité des couches et équipements;Capuche, poignets, poches et fermetures;Renforts et confort sous les accessoires;Preuves des performances annoncées|Compatibilidad de capas y equipamiento;Capucha, puños, bolsillos y cierres;Refuerzos y comodidad bajo accesorios;Pruebas de las prestaciones anunciadas|Compatibilidade de camadas e equipamento;Capuz, punhos, bolsos e fechos;Reforços e conforto sob acessórios;Evidências do desempenho anunciado|Совместимость слоёв и экипировки;Капюшон, манжеты, карманы и застёжки;Усиления и комфорт под аксессуарами;Подтверждение заявленных свойств|叠穿与装备兼容性;帽型、袖口、口袋与拉链;受力补强及配件下的舒适度;所宣称性能的验证证据
water.title|Natation et sports nautiques|Natación y deportes acuáticos|Natação e desportos aquáticos|Плавание и водный спорт|游泳与水上运动
water.intro|Vérifiez le vêtement sec et mouillé, en tenant compte de la transparence, du maintien et du contact avec l’eau. Précisez les conditions d’usage et d’entretien pour valider les matières et finitions.|Revisa la prenda seca y mojada, considerando transparencia, sujeción y contacto con el agua. Define uso y cuidado para validar materiales y acabados.|Verifique a peça seca e molhada, considerando transparência, suporte e contacto com a água. Defina utilização e cuidados para validar materiais e acabamentos.|Проверяйте изделие в сухом и мокром состоянии: прозрачность, фиксацию и контакт с водой. Уточните условия использования и ухода для согласования материалов и отделки.|分别在干态与湿态检查遮透、固定和接触水后的表现，明确使用与护理条件后再确认材料及工艺。
water.points|Couverture et opacité à l’état mouillé;Doublure, élastiques et coutures;Confort des fermetures et cordons;Résistance des couleurs selon l’usage prévu|Cobertura y opacidad en mojado;Forro, elásticos y costuras;Comodidad de cierres y cordones;Resistencia del color según el uso previsto|Cobertura e opacidade em molhado;Forro, elásticos e costuras;Conforto de fechos e cordões;Resistência da cor segundo a utilização prevista|Покрытие и непрозрачность во влажном виде;Подкладка, резинки и швы;Комфорт застёжек и шнурков;Стойкость цвета для заданного применения|湿态遮盖与遮透;内衬、弹性带与接缝;拉链及抽绳舒适度;针对预期用途的色牢度
combat.title|Sports de combat|Deportes de combate|Desportos de combate|Единоборства|搏击与格斗运动
combat.intro|Adaptez la coupe au contact, à la flexion et aux mouvements de la discipline. Les coutures, marquages et fermetures ne doivent pas être approuvés uniquement sur l’aspect visuel : examinez leur comportement pendant l’essai.|Adapta el ajuste al contacto, la flexión y los movimientos de la disciplina. No apruebes costuras, logos y cierres solo por su apariencia: examina su comportamiento durante la prueba.|Adapte o corte ao contacto, à flexão e aos movimentos da modalidade. Não aprove costuras, marcas e fechos apenas pelo aspeto: examine o comportamento durante o ensaio.|Адаптируйте крой к контакту, сгибанию и движениям дисциплины. Оценивайте швы, нанесение и застёжки не только визуально, но и в ходе испытаний.|根据接触、屈伸及项目动作调整版型。接缝、标识与闭合件不能仅凭外观批准，还需检查试穿过程中的实际表现。
