field_group,field_name,buyer_requirement,reference_or_method,acceptance_rule,sample_result,status,owner,evidence_reference,notes
Project identity,Brand or buyer,,,,,,,,
Project identity,Style code and style name,,,,,,,,
Project identity,Sample ID and revision,,,,,,,,
Project identity,Development route (light custom OEM or ODM),,,,,,,,
Use case,Garment type and product role,,,,,,,,
Use case,Target sport or activity,,,,,,,,
Use case,Target wearer and market,,,,,,,,
Use case,Climate and temperature condition,,,,,,,,
Use case,Layering position and adjacent garments,,,,,,,,
Assortment,Colorways and color references,,,,,,,,
Assortment,Size range and planned size breakdown,,,,,,,,
Material,Main fabric identity and supplier code,,,,,,,,
Material,Contrast lining or mesh identity,,,,,,,,
Material,Fiber composition and construction,,,,,,,,
Material,Finished weight width and measurement condition,,,,,,,,
Material,Stretch direction method and result,,,,,,,,
Material,Recovery method relaxation condition and result,,,,,,,,
Material,Opacity requirement and review condition,,,,,,,,
Material,Surface finish handfeel and approved swatch,,,,,,,,
Material,Thermal cooling or moisture claim evidence,,,,,,,,
Fit and compression,Base size and approved fit reference,,,,,,,,
Fit and compression,Target fit and compression zones,,,,,,,,
Fit and compression,Point of measurement table and method,,,,,,,,
Fit and compression,Grade rules and measurement tolerances,,,,,,,,
Fit and compression,Waist cuff sleeve and neckline pressure review,,,,,,,,
Fit and compression,Donning doffing and movement review,,,,,,,,
Fit and compression,Garment pressure or performance claim evidence if used,,,,,,,,
Construction,Pattern panel and seam map revision,,,,,,,,
Construction,Seam type thread and stitch specification,,,,,,,,
Construction,Flatlock seam position and skin contact review,,,,,,,,
Construction,Gusset underarm knee and articulation details,,,,,,,,
Construction,Waistband elastic hem cuff or gripper details,,,,,,,,
Construction,Ventilation mesh reflective and abrasion-zone details,,,,,,,,
Branding,Logo method artwork file and revision,,,,,,,,
Branding,Logo placement dimensions and color references,,,,,,,,
Branding,Main label size label and care label files,,,,,,,,
Branding,Published product claims and evidence owner,,,,,,,,
Sample review,Conditioning washing and drying method,,,,,,,,
Sample review,Measurements before and after agreed care trial,,,,,,,,
Sample review,Stretch recovery and shape-retention review,,,,,,,,
Sample review,Movement seam comfort and chafe review,,,,,,,,
Sample review,Opacity surface and color appearance review,,,,,,,,
Sample review,Logo label and trim durability review,,,,,,,,
Packaging,Folding individual pack and warning requirements,,,,,,,,
Packaging,SKU barcode size sticker and carton rule,,,,,,,,
Bulk release,Approved sample fabric artwork and packaging references,,,,,,,,
Bulk release,Open issue controlled exception and next action,,,,,,,,
Bulk release,Approval owner approval date and release status,,,,,,,,
Bulk verification,Incoming material in-line and final inspection checks,,,,,,,,
