"section","field","buyer_input","approved_reference","inspection_method","defect_classification","acceptance_rule","evidence_required","status","owner","notes"
"Lot identification","Purchase order and lot ID","","Purchase order","","","","","Open","",""
"Lot identification","Style, color, size, order quantity, presented quantity, and carton range","","Order breakdown and packing list","","","","","Open","",""
"Inspection setup","Sampling standard, edition, inspection level, sampling plan, and acceptance rule","","Licensed standard and approved inspection instruction","","","","","Open","",""
"Product identity","Style, color, labeled size, SKU, roster, player name, and number","","Purchase order, SKU file, roster, and approved labels","","","","","Open","",""
"Fabric and color","Material code, shade or print lot, handfeel, surface, stretch, and recovery","","Approved coded swatch, lab dip, strike-off, sample, and material specification","","","","","Open","",""
"Measurements","Points of measure, method, required value, tolerance, and checked sizes","","Current size chart, measurement diagram, size-set approval, and sample","","","","","Open","",""
"Construction","Seams, stitches, reinforcement, hems, panel alignment, closures, pockets, pads, and trims","","Tech pack, approved sample, workmanship standard, and closed comments","","","","","Open","",""
"Printing and branding","Artwork revision, color, size, placement, logo finish, labels, and badges","","Artwork proof, placement map, decoration sample, color target, and label files","","","","","Open","",""
"Function and appearance","Closures, pockets, stretch points, matching sets, cleanliness, pressing, and presentation","","Approved sample and product function requirements","","","","","Open","",""
"Packing and cartons","Folding, polybag, warnings, barcode, size sticker, insert, assortment, carton mark, carton condition, weight, and dimensions","","Packaging files, barcode data, roster, packing instruction, carton mark, and order specification","","","","","Open","",""
"Defect classification","Critical, major, and minor definitions with product-specific examples","","Approved defect library and applicable requirements","","","","","Open","",""
"Decision workflow","Report recipient, decision owner, exception authority, corrective action, reinspection, shipment hold, and release","","Inspection contract and buyer release procedure","","","","","Open","",""
